area_sqm,building_year,num_rooms,has_elevator,has_parking,has_storage,price(in_toman),floor_number,district,district_encoded,price_standardized,building_age
81,1403,2,1,1,1,4990000000,35,وردآورد,245,-0.5417558009831858,0
120,1396,2,1,1,1,7700000000,14,جیحون,76,-0.35465670510170455,7
80,1398,2,1,0,1,4500000000,15,جی,75,-0.5755855268067746,5
52,1383,1,0,0,1,3100000000,44,شاهد,140,-0.6722418863027427,20
58,1402,1,1,1,1,2500000000,34,جیحون,76,-0.7136660403724433,1
68,1388,2,0,0,1,2400000000,3,شهرک کیانشهر,172,-0.7205700660507268,15
150,1401,3,1,1,1,25000000000,5,مرزداران,214,0.8397397372413302,2
99,1388,2,1,1,1,9100000000,25,جنت‌آباد مرکزی,70,-0.2580003456057364,15
65,1390,1,0,0,1,2450000000,3,باغ فیض,42,-0.7171180532115851,13
135,1402,3,1,1,1,13500000000,55,تهران‌سر,56,0.045776784238734824,1
43,1394,1,1,1,1,3490000000,44,جیحون,76,-0.6453161861574374,9
53,1395,1,0,1,1,3160000000,1,تهران‌سر,56,-0.6680994708957727,8
97,1395,2,1,1,1,9850000000,35,ارم,16,-0.20622015301861066,8
98,1395,2,0,0,1,11500000000,2,شهرک کوهسار,171,-0.09230372932693394,8
96,1370,2,1,1,0,8700000000,77,میدان ولیعصر,223,-0.2856164483188702,33
60,1398,1,1,1,1,1400000000,2,شهر زیبا,148,-0.7896103228335611,5
61,1398,1,1,1,1,4300000000,34,دکتر هوشیار,112,-0.5893935781633415,5
150,1401,3,1,1,1,24000000000,35,هفت حوض,241,0.7706994804584958,2
80,1398,2,1,1,0,1230000000,46,پونک,254,-0.8013471664866431,5
41,1382,1,0,0,1,2370000000,34,جیحون,76,-0.7226412737542118,21
73,1393,1,1,0,1,5800000000,4,ستارخان,123,-0.4858331929890899,10
118,1393,2,1,1,1,11000000000,45,شهران شمالی,151,-0.1268238577183511,10
49,1396,1,1,0,0,3020000000,55,جی,75,-0.6777651068453695,7
99,1393,2,1,1,1,9400000000,15,حافظیه,77,-0.23728826857088614,10
60,1398,2,0,0,0,2600000000,25,شمیران‌نو,146,-0.7067620146941599,5
88,1385,2,1,1,1,14050000000,511,اختیاریه,13,0.08374892546929373,18
85,1403,2,1,1,1,5200000000,5,بیسیم,50,-0.5272573470587906,0
76,1387,2,0,1,1,6170000000,34,جنت‌آباد جنوبی,68,-0.46028829797944115,16
105,1403,2,1,0,1,3465000000,1,نعمت‌آباد,234,-0.6470421925770081,0
100,1399,2,1,1,1,16800000000,1,پونک,254,0.2736096316220883,4
65,1403,1,1,1,1,2015000000,919,طرشت,186,-0.7471505649121181,0
106,1387,2,0,1,1,7700000000,44,شادمهر,138,-0.35465670510170455,16
63,1396,1,1,1,1,5050000000,43,تهرانپارس شرقی,54,-0.5376133855762156,7
144,1400,2,1,1,1,13200000000,2020,دریاچه شهدای خلیج فارس,105,0.025064707203884512,3
140,1403,3,1,1,1,6340000000,1114,شهرک راه‌آهن,157,-0.44855145432635934,0
220,1383,3,1,1,1,46000000000,35,الهیه,24,2.2895851296808525,20
38,1380,1,0,0,1,2600000000,33,پلیس,253,-0.7067620146941599,23
57,1385,2,0,0,1,4500000000,14,تهرانپارس شرقی,54,-0.5755855268067746,18
153,1396,3,1,1,1,15550000000,4,جنت‌آباد شمالی,69,0.1873093106435453,7
116,1396,2,1,1,1,10900000000,1919,دریاچه شهدای خلیج فارس,105,-0.13372788339663455,7
200,1387,3,1,1,1,39000000000,35,الهیه,24,1.8063033322010116,16
54,1397,2,1,1,1,4400000000,24,زنجان,117,-0.5824895524850581,6
87,1403,2,1,1,0,6650000000,66,خانی‌آباد نو,88,-0.4271489747236807,0
84,1396,2,1,1,1,4650000000,2,خلیج فارس,91,-0.5652294882893494,7
44,1380,1,0,0,1,2320000000,1,جوادیه,72,-0.7260932865933536,23
80,1385,2,0,1,1,4200000000,44,منیریه,218,-0.5962976038416249,18
107,1403,2,1,1,1,8200000000,12,چیتگر,257,-0.3201365767102874,0
65,1394,2,1,0,0,2850000000,25,فلاح,197,-0.6895019504984513,9
49,1401,1,1,1,1,1360000000,14,اندیشه (شهر زیبا),33,-0.7923719331048745,2
92,1402,2,1,1,1,2622000000,311,چیتگر,257,-0.7052431290449376,1
98,1392,2,1,1,1,11800000000,2,هروی,240,-0.07159165229208363,11
88,1393,2,1,1,1,11770000000,3,جنت‌آباد مرکزی,70,-0.07366285999556865,10
60,1394,1,1,1,1,6450000000,45,تهرانپارس غربی,55,-0.44095702608024756,9
62,1392,1,0,0,0,2350000000,2,دولتخواه,110,-0.7240220788898685,11
98,1399,2,1,1,1,11000000000,3,جنت‌آباد مرکزی,70,-0.1268238577183511,4
107,1403,2,1,1,1,6955000000,5,بریانک,43,-0.4060916964049162,0
90,1403,2,1,0,0,3240000000,16,یافت‌آباد,275,-0.6625762503531459,0
59,1398,1,1,0,1,1799000000,1,مبارک‌آباد بهشتی,208,-0.7620632603772103,5
130,1396,3,1,1,1,6800000000,420,وردآورد,245,-0.4167929362062555,7
100,1403,2,1,1,1,3300000000,5,چیتگر,257,-0.6584338349461758,0
50,1393,1,1,0,0,3000000000,34,دولاب,109,-0.6791459119810261,10
135,1401,3,1,1,1,9000000000,35,جیحون,76,-0.2649043712840199,2
70,1385,2,0,1,1,5300000000,24,زنجان,117,-0.520353321380507,18
130,1403,2,1,1,1,10000000000,5,شمس‌آباد,145,-0.19586411450118552,0
60,1398,2,1,1,1,1790000000,34,اندیشه (شهر زیبا),33,-0.7626846226882558,5
85,1395,2,1,1,1,7100000000,1,دکتر هوشیار,112,-0.39608085917140523,8
62,1388,1,1,1,1,7900000000,4,مرزداران,214,-0.3408486537451377,15
160,1403,3,1,1,1,60000000000,77,سعادت‌آباد,127,3.2561487246405334,0
91,1393,2,1,1,1,16500000000,4,حکمت,84,0.25289755458723795,10
81,1401,1,1,1,1,4300000000,45,شادآباد,137,-0.5893935781633415,2
115,1397,2,1,1,1,16100000000,45,مرزداران,214,0.2252814518741042,6
47,1389,1,1,1,0,2800000000,34,گمرک,273,-0.6929539633375931,14
79,1383,2,0,1,1,7940000000,1,سازمان آب,120,-0.33808704347382434,20
105,1401,2,1,1,1,15500000000,45,مرزداران,214,0.18385729780440357,2
116,1403,2,1,1,1,1500000000,1622,چیتگر,257,-0.7827062971552777,0
56,1387,1,1,1,1,3136000000,2,خلیج فارس,91,-0.6697564370585607,16
85,1388,2,1,1,1,10500000000,1,مرزداران,214,-0.1613439861097683,15
87,1397,2,1,0,1,5300000000,35,زنجان,117,-0.520353321380507,6
64,1397,2,1,1,1,3000000000,23,وردآورد,245,-0.6791459119810261,6
57,1395,1,1,1,1,2600000000,34,بلورسازی,45,-0.7067620146941599,8
110,1397,2,1,1,1,12500000000,35,شاهین,141,-0.023263472544099554,6
